message_id,message_text,toxicity_score,category,language_code,moderation_action
MSG00001,This product is amazing! I love the quality and the fast shipping.,0.0,safe,en,allow
MSG00002,¿Puedes enviarme información sobre este producto?,0.0,safe,es,allow
MSG00003,"Ce produit semble être une arnaque, ne l'achetez pas!",0.5,scam,fr,block
MSG00004,"This is a great gift for Valentine's Day, highly recommend!",0.0,safe,en,allow
MSG00005,"Ich liebe diese Schokolade, sie ist köstlich!",0.0,safe,de,allow
MSG00006,素晴らしい商品ですね。とても満足しています。,0.0,safe,ja,allow
MSG00007,This content is inappropriate and should be removed immediately.,0.44,adult,en,block
MSG00008,"Goed product, maar de levering duurde lang.",0.0,safe,nl,allow
MSG00009,"Produto excelente, recomendo a todos!",0.0,safe,pt,allow
MSG00010,"Este producto es basura, no lo compren nunca más!",0.6,harassment,es,block
MSG00011,Envoyez-moi de l'argent ou je révèle vos secrets!,0.36,scam,fr,review
MSG00012,"Amazing customer service, very helpful!",0.0,safe,en,allow
MSG00013,"Esta página web es un timo total, pierden el tiempo aquí.",0.5,scam,es,block
MSG00014,"Me encanta este regalo, perfecto para mi pareja.",0.0,safe,es,allow
MSG00015,Das ist ein tolles Geschenk für den Valentinstag!,0.0,safe,de,allow
MSG00016,"Dit lijkt een scam website te zijn, pas op!",0.53,scam,nl,block
MSG00017,This is the best Valentine's gift I've ever received!,0.0,safe,en,allow
MSG00018,"Produto de ótima qualidade, entrega rápida.",0.0,safe,pt,allow
MSG00019,"Ce parfum sent délicieux, je l'adore!",0.0,safe,fr,allow
MSG00020,"Très belle bijouterie, parfaite pour offrir.",0.0,safe,fr,allow
MSG00021,この商品は素晴らしいです、満足しています。,0.0,safe,ja,allow
MSG00022,"Goede service, maar prijzen zijn een beetje hoog.",0.0,safe,nl,allow
MSG00023,"Este chocolate é delicioso, recomendo!",0.0,safe,pt,allow
MSG00024,"Schöne Blumen, aber die Lieferung war zu langsam.",0.0,safe,de,allow
MSG00025,"Me gusta mucho este producto, buena calidad.",0.0,safe,es,allow
MSG00026,"J'adore ces roses, elles sont magnifiques!",0.0,safe,fr,allow
MSG00027,Este conjunto de joias é perfeito para casais.,0.0,safe,pt,allow
MSG00028,"Das Essen war fantastisch, danke für die Empfehlung!",0.0,safe,de,allow
MSG00029,This is unacceptable content that violates community guidelines.,0.0,safe,en,allow
MSG00030,このスパ体験は最高でした、とてもリラックスできました。,0.32,spam,ja,review
MSG00031,"Me encanta este perfume, huele increíble.",0.0,safe,es,allow
MSG00032,このメッセージはスパムです、削除してください。,0.75,spam,ja,review
MSG00033,"Great product, fast delivery, will buy again!",0.0,safe,en,allow
MSG00034,"Prachtige sieraden, mijn partner was dolblij!",0.0,safe,nl,allow
