store_id,store_name,country_code,state_province,city,channel,manager_name,capacity_units,currency_code
S0001,Venus Boutique #1,MX,CMX,Guadalajara,Online,Hiro Smith,3134,MXN
S0002,Apollo Shop #2,SG,SG,Singapore,Retail,Noa Lefevre,4128,SGD
S0003,Sweet Spot #3,FR,PAC,Bordeaux,Retail,Noa Smith,6116,EUR
S0004,Sweet Spot #4,PL,MZ,Katowice,Online,Milan Patel,3643,PLN
S0005,Apollo Shop #5,CA,QC,Toronto,Retail,Milan García,1724,CAD
S0006,Eros Corner #6,DE,BE,Berlin,Online,Noah Lefevre,6779,EUR
S0007,Venus Boutique #7,IN,MH,Mumbai,Online,Léa Smith,6195,INR
S0008,Sweet Spot #8,FR,PAC,Bordeaux,Online,Liam Rossi,5160,EUR
S0009,Cupid Outlet #9,FR,PAC,Marseille,Online,Amir Dubois,7644,EUR
S0010,Venus Boutique #10,JP,KN,Tokyo,Retail,Liam García,4461,JPY
S0011,Apollo Shop #11,BR,SP,São Paulo,Retail,Noah Patel,5941,BRL
S0012,Sweet Spot #12,IT,LOM,Milan,Retail,Giulia Müller,3792,EUR
S0013,Cupid Outlet #13,SE,STH,Stockholm,Retail,Lucas Santos,7067,SEK
S0014,Eros Corner #14,US,IL,New York,Online,Yui Bakker,5628,USD
S0015,ChocoHub #15,NO,VIK,Oslo,Retail,Liam Müller,7987,NOK
S0016,Venus Boutique #16,US,CA,San Francisco,Retail,Léa García,5500,USD
S0017,ChocoHub #17,IT,TOS,Rome,Online,Leah Dubois,6642,EUR
S0018,Apollo Shop #18,ES,MD,Barcelona,Online,Wei Johnson,2249,EUR
S0019,Apollo Shop #19,GB,SCT,Manchester,Online,Chloé Rossi,4404,GBP
S0020,Apollo Shop #20,SG,SG,Singapore,Online,Santiago Kowalski,7385,SGD
S0021,Sweet Spot #21,NL,Zuid-Holland,Amsterdam,Online,Santiago Williams,2469,EUR
S0022,Venus Boutique #22,FR,NAQ,Marseille,Online,Santiago Zhang,3363,EUR
S0023,Venus Boutique #23,US,TX,San Francisco,Online,Amir Lefevre,7914,USD
S0024,Apollo Shop #24,MX,JAL,Guadalajara,Online,Mei Zhang,3927,MXN
S0025,Cupid Outlet #25,IN,TN,Delhi,Retail,Yui Johnson,6442,INR
S0026,Venus Boutique #26,CA,BC,Montréal,Retail,Lucas Johnson,6132,CAD
S0027,Venus Boutique #27,FR,IDF,Bordeaux,Online,Léa Suzuki,4775,EUR
S0028,Eros Corner #28,CA,AB,Montréal,Online,Léa Bakker,6100,CAD
S0029,Eros Corner #29,JP,KN,Tokyo,Online,Hiro Lefevre,5856,JPY
S0030,Sweet Spot #30,SG,SG,Singapore,Retail,Yui Johnson,1286,SGD
S0031,Cupid Outlet #31,SE,STH,Gothenburg,Online,Isha Nowak,6026,SEK
S0032,Venus Boutique #32,FR,NAQ,Paris,Online,Emma Rossi,2018,EUR
S0033,Sweet Spot #33,SE,STH,Stockholm,Retail,Sofía Zhang,1040,SEK
S0034,Apollo Shop #34,BR,RJ,São Paulo,Online,Giulia Williams,570,BRL
S0035,Cupid Outlet #35,SE,STH,Gothenburg,Retail,Amir Rossi,2006,SEK
S0036,Cupid Outlet #36,IT,LOM,Rome,Retail,Wei Suzuki,679,EUR
S0037,Cupid Outlet #37,CA,AB,Calgary,Online,Léa Williams,7120,CAD
S0038,Venus Boutique #38,ZA,GP,Johannesburg,Online,Fleur Williams,2173,ZAR
S0039,Sweet Spot #39,DK,M,Aarhus,Retail,Liam Romano,3518,DKK
